	noticia_data	noticia_titulo	noticia_url	noticia_corpo
0	28/09/2018	Vem aí o primeiro concurso de fotografia do Corredor Cultural	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7171	"Estão abertas as inscrições para a primeira edição do Concurso de Fotografia promovido pelo Corredor Cultural. Organizado pelo Fórum de Pró-Reitores de Extensão das Instituições de Ensino Superior do Sudeste, o concurso gira em torno do tema ""Patrimônio histórico, artístico e cultural do Brasil""
Não há exigência de uma técnica específica de fotografia, sendo permitido o uso de filtros, ampliação e outros recursos. Além disso, as imagens podem ser tratadas e editadas, desde que não se altere a ""essência da fotografia"", de acordo com a avaliação do júri. A originalidade da obra e criatividade da linguagem, assim como a qualidade da imagem e a coerência com o tema exigido são os critérios qualitativos com que cada fotografia será avaliada.
Estão aptos a se inscreverem estudantes, docentes e demais funcionários e servidores das instituições participantes - entre elas está a UFSJ, que recebeu um dos eventos do Corredor Cultural no mês de agosto. A iniciativa tem como objetivo principal promover o intercâmbio cultural entre as comunidades acadêmicas de diferentes universidades e institutos federais, como a UFSJ, a Unicamp e a Unifei.
As inscrições podem ser realizadas até o dia 17 de outubro, por meio de formulário disponível online aqui. Passado o período de inscrições, as obras serão analisadas pela comissão avaliadora, entre os dias 22 de outubro e 4 de novembro. Os resultados serão divulgados em 7 de novembro. 

                                                    Publicada em 28/09/2018Fonte: ASCOM"
1	28/09/2018	Comunica Extensão lança site	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7170	"O projeto Comunica Extensão, que consiste no canal de divulgação extensionista da UFSJ, lança nesta sexta-feira, 28, seu portal online. O objetivo é fortalecer a visibilidade das ações de extensão ligadas à Universidade Federal de São João del-Rei, informando às comunidades interna e externa, a partir de diversos meios de comunicação, sobre os 74 programas e 46 projetos dos seis campi da instituição. 
 
A proposta é apresentar a produção extensionista da UFSJ, suas ações e resultados, e melhorar a comunicação da extensão. O Comunica já possui outros veículos, como página e grupo no Facebook, perfil no Instagram e canal no YouTube. Segundo Camille Gallo, bolsista  de Extensão da Proex, “a intenção da criação do site é  informar tanto para o público interno da Universidade, quanto para o público externo, as notícias gerais sobre a extensão”. 
 
No portal, o internauta poderá encontrar notícias sobre ações de projetos e programas de extensão da Universidade e outros assuntos relacionados, como concursos, fóruns de pró-reitores da área, premiações, editais. Além disso, há um espaço reservado para agenda de eventos. Para acessar o site do Comunica Extensão, clique aqui. 
 
A extensão na UFSJ
 
A extensão universitária tem como premissa a interdisciplinaridade entre os aspectos educativo, cultural, científico e político, promovendo interação entre a Universidade e outros setores da sociedade. Na UFSJ, a extensão acontece por meio de programas, projetos, cursos, eventos, prestação de serviços, publicações e outros produtos acadêmicos. O órgão responsável pela extensão é a Pró-Reitoria de Extensão e Assuntos Comunitários (Proex), situada no Centro Cultural UFSJ, Centro Histórico de São João del-Rei.

                                                    Publicada em 28/09/2018Fonte: ASCOM"
2	28/09/2018	Interdição do Dom Bosco e de parte do Santo Antônio no domingo, 30	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7169	"A Divisão de Prefeitura (Dipre) comunica que o pavilhão de salas de aula do Campus Santo Antonio e todo o Campus Dom Bosco da UFSJ estarão interditados no dia 30 de setembro, domingo, das 6h às 19h, para preparação e realização do concurso da Prefeitura Municipal de São João del-Rei.

                                                    Publicada em 28/09/2018Fonte: ASCOM"
3	28/09/2018	"""Diálogos interdisciplinares"" em Tiradentes"	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7168	"O Grupo de Pesquisa A.T.A., da UFSJ, promove o evento ""Diálogos Interdisciplinares"", no Espaço de Arte Geraes, em Tiradentes, nesta sexta-feira, 28, às 14h . O evento integra o projeto Urbanidades Latinoamericanas e recebe como convidados o artista visual Pedro Motta e a professora Carla Juscélia (Degeo/UFSJ), sob coordenação de Adriana Nascimento (Dauap/UFSJ).
O projeto Urbanidades Latinoamericanas foi aprovado recentemente no edital de circulação artística lançado pela Proex/UFSJ em julho deste ano. O objetivo é trabalhar o olhar acerca do urbano e suas urbanidades, tendo como parceiro regional o Espaço de Artes Geraes, em Tiradentes.
O grupo de pesquisa A.T.A. foi criado a partir de uma reflexão acerca da produção artística contemporânea e seus percursos interdisciplinares, intermídias e intertextuais. A proposta é desenvolver trabalhos baseados na apreensão das diversas dimensões da produção artística, assim como criar diálogos entre diferentes campos e áreas de conhecimento com a finalidade de produzir um corpus de trabalho voltado para aspectos históricos, sociais, políticos, urbanos e ecológicos.  

                                                    Publicada em 28/09/2018Fonte: ASCOM"
4	27/09/2018	Retificação de edital de vagas da moradia estudantil	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7167	"A Pró-Reitora de Assuntos Estudantis da UFSJ (Proae) publicou retificação do cronograma do Edital UFSJ/Proae 07/2018, mantendo inalterado os demais itens do edital. As novas informações do cronograma incluem nova data para entrega/envio de documentação, resultado preliminar, período de recursos, resultado final, assinatura do termo de compromisso e entrega das chaves, ocupação da vaga.
Para conferir o edital retificado, acesse ufsj.edu.br/proae/editais_moradia_estudantil.php
Mais informações pelo telefone do Setor de Alimentação e Moradia, 32 3379 5443.

                                                    Publicada em 27/09/2018Fonte: ASCOM"
5	27/09/2018	Progp lança edital de fluxo contínuo para ações de capacitação de servidores	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7166	"A Pró-Reitoria de Gestão e Desenvolvimento de Pessoas da UFSJ publicou ontem, 26 de setembro, edital de fluxo contínuo para incentivo a ações de capacitação de servidores e apresentação de trabalhos em eventos científicos e tecnológicos que não estejam contemplados no Plano Anual de Capacitação 2018. As inscrições devem ser feitas sempre pelo menos 30 dias antes do início do evento.
O objetivo é apoiar ações de capacitação propostas por docentes e técnicos-administrativos de todos os campi da UFSJ, com o propósito de promover o aprendizado contínuo dos servidores conforme o ambiente organizacional onde está inserido, bem como o estímulo à participação em eventos científicos ou tecnológicos para apresentação trabalhos aprovados.
Serão financiadas inscrições para participação nas ações conforme requisitos e critérios de participação previstos no edital. Os requerimentos devem ser entregues no Setor de Acompanhamento e Desenvolvimento de Pessoas, presencialmente no horário de funcionamento do setor ou via malote, acompanhado de toda a documentação exigida no referido edital.
O resultado da seleção será divulgado na página do Sesed no prazo de até cinco dias úteis após apresentação da solicitação.
Para consultar o edital, acesse https://ufsj.edu.br/progp/capacitacaoqualificacao.php

                                                    Publicada em 27/09/2018Fonte: ASCOM"
6	27/09/2018	Abertas inscrições para portadores de diploma	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7165	"A partir desta sexta-feira, 28, até o dia 8 de outubro, a Comissão Permanente de Vestibular da UFSJ (Copeve) recebe inscrições para o Processo Seletivo por Transferência Externa e Admissão de Portadores de Diploma de Ensino Superior (Protap) para ingresso nos cursos de graduação da UFSJ no primeiro semestre de 2019.
As condições específicas para participar do Protap são as seguintes:
Ter participado de uma das três últimas edições do Enem (Enem 2015, Enem 2016 ou Enem 2017), o que não se aplica aos cursos de Artes Aplicadas e Música;
Estar regular na instituição de origem (no caso de Transferência Externa);
Ter cursado, com aprovação, no mínimo 20% e no máximo 60% da carga horária total exigida para integralização do curso no qual se encontra matriculado na instituição de origem (no caso de Transferência Externa);
Observar rigorosamente os cursos afins (para Transferência Externa e Portador de Diploma).
Para se inscrever e obter mais informações sobre o Protap, acesse o edital: https://ufsj.edu.br/vestibular/transferencia_20182.php

                                                    Publicada em 27/09/2018Fonte: ASCOM"
7	26/09/2018	Fundação Cerem promove o I Café Musical	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7164	"A Fundação Centro de Referência Musicológica José Maria Neves (Fcerem) realiza amanhã, 27 de setembro, às 14h, o I Café Musical. O evento, que acontece na sede da Fundação (Rua Mal Bittencourt, 24 - Centro - São João del-Rei), tem por objetivo discutir temáticas da influência da música na conscientização do Setembro Amarelo , além de criar um ambiente de interação para que os presentes possam contar suas experiências do dia a dia.
Segundo a Fundação Cerem, a intenção é também mostrar a importância da música na esfera mental do cidadão, através das suas emoções e dos seus sentimentos.
Para mediar as conversas o Café Musical terá as presenças da professora do Departamento de Psicologia da UFSJ, Larissa Medeiros, que atua como pesquisadora na área de ""Instituições, Saúde e Sociedade"", e também do estudante do curso de Música, João Paulo Luiz Aparecido Silva, que já atua como cantor e abordará sua experiência de trabalho na perspectiva da satisfação mental.
Durante o evento,estão previstos roda de conversa, café da tarde, além de uma oficina coordenada pela professora Larissa, com objetivo de estimular o participante a conhecer mais sobre a temática do suicídio.
O espaço é limitado a 40 participantes, portanto é necessário realizar a inscrição gratuita na página do Facebook da Fundação Cerem ou na Portaria do Centro Cultural da UFSJ ( Praça Dr. Augusto das Chagas Viegas, 17,Largo do Carmo). Outras informações 3373-3147.

                                                    Publicada em 26/09/2018Fonte: ASCOM"
8	26/09/2018	Ciclo de Debates discute racismo na UFSJ	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7163	"O Ciclo de Debates sobre Geografia da África e Relações Étnico-Raciais começa hoje, quarta (26) e vai até a sexta (28) na UFSJ. O evento será realizado no auditório do Campus Tancredo de Almeida Neves (CTAN), a partir das 19 horas. A ideia é debater temas sociais ligados à desigualdade social e às questões raciais na sociedade. 
A desigualdade social deixa marcas na sociedade brasileira - 71% das vítimas de assassinatos são negros, conforme demonstra pesquisa realizada em 2017 pelo Fórum Brasileiro de Segurança Pública.
Promovido pelo Laboratório Interdisciplinar de Educadores (Life) em parceria com o Laboratório de Prática de Ensino de Geografia, o Ciclo de Debates acontece pela primeira vez. O propósito de um evento deste porte é envolver um número maior de pessoas da comunidade interna e externa. Um dos principais objetivos é formar os professores da escola básica e discutir o combate ao racismo.
Haverá dois debates por dia. A quarta-feira abre com a conversa Relação Étnico-racial no Brasil, EUA e África do Sul, com o professor Manuel Jauará (Decis), em seguida a presidente do grupo Raízes da Terra, Vicentina Neves, fala sobre Racismo e Desigualdade Social no Brasil.
Na quinta-feira, o professor José Luiz de Oliveira (Dfime) fala sobre Relações Étnico-Raciais e Escola Básica, logo depois o professor Adilson Roberto Siqueira (Delac) discute Práticas Ecopoéticas e relações étnico-raciais contra hegemônicas.
Já na sexta-feira, para encerrar o evento, o professor Bruno dos Santos da Escola Estadual Afonso Pena Júnior, junto com o professor Luan Ariel Sigaud (PPGeog), coordenam uma conversa sobre A diáspora africana no Brasil e relações Étnico-Raciais.
Para o organizador do evento, professor Vicente Leão (Degeo), é importante que o meio acadêmico são-joanense se manifeste sobre esse tema: “É muito importante entender e combater o preconceito. A Universidade precisa estar presente nas lutas contra o racismo”.
As atividades são gratuitas e não é necessário inscrição. Haverá certificado de horas acadêmicas para os estudantes da graduação, de acordo com a lista de presença.
 

                                                    Publicada em 26/09/2018Fonte: ASCOM"
9	26/09/2018	Forproex defende Extensão Universitária em audiência pública no CNE	https://www.ufsj.edu.br/noticias_ler.php?codigo_noticia=7162	"O Fórum de Pró-Reitores de Extensão das Instituições Públicas de Educação Superior brasileiras (Forproex) participou, no dia 17 de setembro, de audiência pública convocada pelo Conselho Nacional de Educação (CNE) do Ministério da Educação (MEC) para discutir a minuta de resolução que estabelece diretrizes para a Extensão Universitária em todo o Sistema de Educação das Instituições de Educação Superior (IES) brasileiras.
A resolução institui princípios, fundamentos e procedimentos para a Extensão Universitária brasileira, com foco em ações que promovam a interação dialógica com os demais setores da sociedade; a formação cidadã de estudantes; a indissociabilidade Ensino, Pesquisa e Extensão; e a produção de saberes e conhecimentos transformadores.
Em elaboração pelo CNE, a minuta apreciada na audiência foi debatida e formulada, em reuniões anteriores, com a participação dos segmentos público, particular e comunitário da Educação Superior. Os termos preliminares da resolução também foram analisados, votados e aprovados pelas IES públicas em encontros prévios do Forproex.A audiência pública contou com a presença de representantes dos fóruns de Extensão das IES públicas, particulares e comunitárias, integrantes do CNE/MEC e sociedade civil.
O ex-presidente do Forproex e ex-pró-reitor de Extensão da Universidade Federal do ABC (UFABC), Daniel Pansarelli, apresentou o documento, destacando as características de elaboração coletiva. “Diante da ausência de uma diretriz nacional emanada pelo governo ou por força de lei, os fóruns (Forproex e Forext) autorregularam os campos anteriormente. Essas diretrizes (da resolução) se apropriam e partem, então, das construções feitas pelos fóruns de extensão”.
Na audiência pública, a presidente do Forproex e pró-reitora de Extensão da Universidade Federal de Juiz de Fora (UFJF), Ana Lívia de Souza Coimbra, destacou o trabalho de 30 anos do Fórum para o desenvolvimento uma Política Nacional de Extensão Universitária para as IES públicas.
Ao reconhecer o momento histórico da regulamentação da Extensão Universitária por parte do CNE/MEC, Ana Lívia defendeu que “a questão social deve estar no centro da formação profissional e cidadã do estudante, no seu olhar sobre o mundo”, ilustrando que, no ano passado, as 135 IES públicas brasileiras desenvolveram aproximadamente 35 mil projetos e programas, produzindo saberes diretamente com 25 milhões de pessoas.
A presidente do Forproex ressaltou o alinhamento da minuta de resolução com a Política Nacional de Extensão Universitária do Forproex e encaminhou dez demandas de alterações redacionais na minuta de resolução, solicitando ao CNE, em especial, uma normatização para todo o Sistema Nacional de Educação Superior e não apenas para o Sistema Federal, como consta na proposta original.
“Ao tratarmos de um Sistema Nacional de Educação Superior, falamos de uma Extensão Universitária brasileira”, incorporando as normativas também para o segmento das IES estaduais e municipais, afirmou Ana Lívia.
Na visão da vice-presidente do Forproex e pró-reitora de Extensão e Cultura da Universidade Estadual de mato Grosso do Sul (UEMS), Márcia Alvarenga, o regimento interno do CNE e a lei 9.131 não determinam que as diretrizes da Extensão sejam restritas ao Sistema Federal. “É possível que este Conselho atenda a todas as instituições. Estando as estaduais e municipais contempladas nesta resolução, é uma forma de fortalecer a questão do financiamento”, acrescentou Márcia.
Ao término da audiência pública, o conselheiro da Câmara de Educação Superior do CNE, Gilberto Gonçalves Garcia, avaliou a pertinência do encaminhamento do Forproex, atestando o compromisso de levar para o texto da resolução a compreensão de que as diretrizes da minuta são válidas para todos os sistemas de ensino superior brasileiros. “Os esforços vão ao sentido de a Extensão ser uma unanimidade [na Educação Superior]”, disse Garcia, esclarecendo que o conceito legal de um sistema nacional de educação ainda está em construção.
Regulamentação
A minuta de resolução trata também sobre a inclusão da Extensão Universitária em, no mínimo, 10% da carga horária dos currículos dos cursos de Graduação, cuja meta foi estabelecida nos Planos Nacionais de Educação de 2001 e 2014, assim como sobre o registro e a institucionalização de programas de acompanhamento e avaliação de programas, projetos, cursos e oficinas, eventos e prestações de serviços, os quais devem ser realizados de forma gratuita ao público participante. A resolução do CNE determina ainda que as atividades extensionistas devem ser consideradas na progressão funcional de docentes e estar prevista no plano de carreiras.
A diretora de Avaliação da Educação Superior do MEC, Mariângela Abrão, destaca que a avaliação dos cursos deve ter como foco a educação como um bem social. “As instituições não devem implementar programas, projetos e demais possibilidades pensando na avaliação. Pelo contrário, a avaliação deve estar integrada ao processo”, salientou.
Para a presidente do Forproex, “o marco regulatório estabelece um compromisso para todas as IES no sentido de cumprir o seu dever social, fortalecendo a Extensão Universitária no país”.
O conselheiro do CNE elogiou a maturidade da discussão do tema pelas instituições e afirma que a resolução orientará o desenvolvimento dos Planos de Desenvolvimentos Institucionais das IES. “É muito importante para a Educação Superior brasileira o entendimento, a clareza [sobre a Extensão Universitária]. O documento reúne politicamente todas as melhores condições do momento para orientar as instituições e os órgãos reguladores das políticas públicas”, pontuou Garcia.
Após a realização da audiência pública, a minuta de resolução segue para votação no CNE. A partir da publicação, a normativa estabelece o prazo de dois anos para as IES implantarem os dispositivos do texto.
· A minuta de resolução sobre a Extensão Universitária pode ser acessada pelo link: http://portal.mec.gov.br/index.php?option=com_docman&amp;view=download&amp;alias=95681-texto-referencia-audiencia-publica-diretrizes-politica-de-extensao&amp;category_slug=setembro-2018-pdf&amp;Itemid=30192
· Ouça a íntegra da audiência pública pelo link: http://centraldemidia.mec.gov.br/index.php?option=com_hwdmediashare&amp;view=mediaitem&amp;id=11636:audiencia-publica-17-09-2018-extensao&amp;filter_mediaType=1&amp;Itemid=0?&amp;filter_mediaType=1
Fonte: Ivan Vasconcelos (Assessoria de Comunicação - Forproex)
https://www.ufmg.br/proex/renex/index.php/noticias/160-forproex-defende-extensao-universitaria-em-audiencia-publica

                                                    Publicada em 26/09/2018Fonte: ASCOM"
